Date,Close
1/2/2019 16:00:00,98.7
1/3/2019 16:00:00,96.98
1/4/2019 16:00:00,102.23
1/7/2019 16:00:00,104.48
1/8/2019 16:00:00,108.58
1/9/2019 16:00:00,111.19
1/10/2019 16:00:00,110.79
1/11/2019 16:00:00,110.84
1/14/2019 16:00:00,110.88
1/15/2019 16:00:00,112.37
1/16/2019 16:00:00,113.13
1/17/2019 16:00:00,113.71
1/18/2019 16:00:00,113.29
1/22/2019 16:00:00,111.69
1/23/2019 16:00:00,110.2
1/24/2019 16:00:00,112.39
1/25/2019 16:00:00,111.24
1/28/2019 16:00:00,110.42
1/29/2019 16:00:00,110.55
1/30/2019 16:00:00,112.69
1/31/2019 16:00:00,126.3
2/1/2019 16:00:00,127.13
2/4/2019 16:00:00,127.22
2/5/2019 16:00:00,127.28
2/6/2019 16:00:00,126.96
2/7/2019 16:00:00,124.59
2/8/2019 16:00:00,124.28
2/11/2019 16:00:00,123.5
2/12/2019 16:00:00,126.44
2/13/2019 16:00:00,125.25
2/14/2019 16:00:00,125.06
2/15/2019 16:00:00,125.98
2/19/2019 16:00:00,126.37
2/20/2019 16:00:00,125.77
2/21/2019 16:00:00,126.3
2/22/2019 16:00:00,126.03
2/25/2019 16:00:00,128.04
2/26/2019 16:00:00,129.05
2/27/2019 16:00:00,128.67
2/28/2019 16:00:00,128.26
3/1/2019 16:00:00,131.8
3/4/2019 16:00:00,130.8
3/5/2019 16:00:00,131.76
3/6/2019 16:00:00,130.11
3/7/2019 16:00:00,128.32
3/8/2019 16:00:00,128.88
3/11/2019 16:00:00,130.76
3/12/2019 16:00:00,130.19
3/13/2019 16:00:00,130.05
3/14/2019 16:00:00,131.19
3/15/2019 16:00:00,131.78
3/18/2019 16:00:00,132.28
3/19/2019 16:00:00,131.61
3/20/2019 16:00:00,131.75
3/21/2019 16:00:00,132.39
3/22/2019 16:00:00,128.65
3/25/2019 16:00:00,131.12
3/26/2019 16:00:00,132.96
3/27/2019 16:00:00,132.78
3/28/2019 16:00:00,133.05
3/29/2019 16:00:00,133.8
4/1/2019 16:00:00,135.05
4/2/2019 16:00:00,135.97
4/3/2019 16:00:00,136.18
4/4/2019 16:00:00,136.47
4/5/2019 16:00:00,136.94
4/8/2019 16:00:00,137.13
4/9/2019 16:00:00,136.44
4/10/2019 16:00:00,136.51
4/11/2019 16:00:00,137.26
4/12/2019 16:00:00,138.57
4/15/2019 16:00:00,137.03
4/16/2019 16:00:00,138.09
4/17/2019 16:00:00,137.69
4/18/2019 16:00:00,139.91
4/22/2019 16:00:00,139.65
4/23/2019 16:00:00,138.96
